,Характеристика,sign,Ед.измерения,formulas,Значения,Примечания
0,Наименование обслуживаемого помещения,-,-,-,A_БКП_ДУ_коридор (типовых этажей),-
1,Площадь пола помещения,-,м2,-,1913,-
2,Высота помещения,-,м,-,3.9,-
3,Объём помещения,-,м3,-,7460.7,-
4,Суммарная площадь внутренней поверхности ограждающих строительных конструкций,-,м2,-,2297.71,-
5,Суммарная площадь проемов помещения,-,м2,-,1.89,-
6,Низшая теплота сгорания древесины,-,МДж/кг,-,13.8,-
7,Плотность пожарной нагрузки помещения,-,МДж/м2,-,800,-
8,"Удельная приведенная пожарная нагрузка, отнесенная к площади тепловоспринимающей поверхности ограждающих строительных конструкций помещения",-,кг/м2,-,48.3,-
9,Средняя теплота сгорания пожарной нагрузки,-,МДж/кг,-,14,-
10,"Удельное количество воздуха, необходимое для полного сгораняи пожарной нагрузки",-,м3/кг,-,3.68,-
11,Проемность помещения,-,м 1/2,-,0.01,-
12,Удельное критическое количество пожарной нагрузки,-,кг/м2,-,0.86,-
13,"Удельная приведенная пожарная нагрузка, отнесенная к площади пола помещения",-,кг/м2,-,57.97,-
14,Вид объемного пожара,-,-,-,Fire_type.FIRE_BY_VENT,-
15,Начальная температура воздуха в помещении,-,C,-,24,-
16,Начальная температура воздуха в помещении,-,K,-,297,-
17,Максимальная среднеобъемная температура в помещении,-,K,-,1369.07,-
18,"Искомое значение температуры газов, поступающих из горящего помещения в коридор",-,K,-,1095.25,-
19,Высота коридора,-,м,-,3.9,-
20,Площадь коридора,-,м,-,40,-
21,Длина коридора,-,м,-,20,-
22,Предельная толщина дымового слоя,-,м,-,2.15,-
23,Температура воздуха в коридоре,-,C,-,24,-
24,Температура воздуха в коридоре,-,K,-,297,-
25,Средняя температура дымового слоя,-,K,-,554.84,-
26,Поправочный коэффициент на тип здания,-,-,-,1.2,-
27,Высота двери при выходе из коридора по путям эвакуации,-,-,-,2.1,-
28,Ширина двери при выходе из коридора по путям эвакуации,-,-,-,0.8,-
29,Площадь двери при выходе из коридора по путям эвакуации,-,м2,-,1.68,-
30,Массовый расход удаляемых непосредственно из коридоров продуктов горения,-,кг/с,-,2.92,-
31,Плотность дымовых газов,-,-,-,0.64,-
32,Объемный расход удаляемых непосредственно из коридоров продуктов горения,-,м3/ч,-,16530.95,-
